,City,Lat,Lng,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Shakhtinsk,49.71,72.59,33.8,43,33,8.95,KZ,1603125274
1,Khatanga,71.97,102.5,9.48,95,38,4.88,RU,1603125274
2,Mil'kovo,54.72,158.62,33.13,91,88,5.26,RU,1603125274
3,Bambous Virieux,-20.34,57.76,75.2,73,40,8.05,MU,1603125159
4,Adrar,20.5,-10.07,92.89,13,0,14.97,MR,1603125275
5,Cockburn Town,21.46,-71.14,81.93,74,83,11.97,TC,1603125275
6,Batagay-Alyta,67.8,130.41,14.81,88,100,2.68,RU,1603125276
7,Gornopravdinsk,60.05,69.9,38.14,98,100,5.66,RU,1603125276
8,Busselton,-33.65,115.33,59.0,64,3,9.86,AU,1603125276
9,San Quintín,30.48,-115.95,76.73,57,0,15.61,MX,1603125185
10,Kloulklubed,7.04,134.26,77.0,94,75,7.07,PW,1603125277
11,Tuktoyaktuk,69.45,-133.04,20.59,97,97,4.43,CA,1603124986
12,Lebu,-37.62,-73.65,56.25,60,2,9.95,CL,1603125012
13,Faanui,-16.48,-151.75,79.79,79,0,15.21,PF,1603125277
14,Lompoc,34.64,-120.46,53.6,100,90,6.6,US,1603125192
15,Thompson,55.74,-97.86,26.76,91,64,6.98,CA,1603125126
16,Tromsø,69.65,18.96,28.4,79,0,5.82,NO,1603125278
17,Stornoway,58.21,-6.39,50.0,87,75,9.17,GB,1603125278
18,Krasnoarmeysk,51.02,45.7,48.99,46,73,5.41,RU,1603125278
19,New Norfolk,-42.78,147.06,42.01,80,39,2.33,AU,1603125279
20,Carnarvon,-24.87,113.63,69.8,77,90,16.11,AU,1603125173
21,Berlevåg,70.86,29.09,37.4,77,75,12.75,NO,1603125279
22,High Level,58.52,-117.14,20.37,85,0,4.32,CA,1603125279
23,Ilovlya,49.3,43.98,53.6,58,40,6.71,RU,1603125280
24,Soledade,-28.82,-52.51,83.05,42,0,4.9,BR,1603124998
25,Vaini,-21.2,-175.2,69.8,77,20,9.17,TO,1603125280
26,Bara,10.37,10.73,78.8,69,20,5.82,NG,1603125280
27,Punta Arenas,-53.15,-70.92,46.4,49,40,31.09,CL,1603125005
28,Bulolo,-7.2,146.65,69.06,77,60,1.19,PG,1603125281
29,Zhob,31.34,69.45,60.04,22,0,1.59,PK,1603125281
30,Rikitea,-23.12,-134.97,73.63,79,0,14.79,PF,1603125144
31,Ponta do Sol,32.67,-17.1,73.4,69,20,9.17,PT,1603125281
32,Pleshanovo,52.83,53.48,49.3,96,100,5.46,RU,1603125282
33,Broome,42.25,-75.83,57.0,81,90,5.82,US,1603125162
34,Port Hardy,50.7,-127.42,51.53,82,77,10.29,CA,1603125001
35,Hithadhoo,-0.6,73.08,82.96,76,100,10.87,MV,1603125282
36,Ponta Delgada,37.73,-25.67,62.6,72,20,24.16,PT,1603125283
37,Albany,42.6,-73.97,60.01,68,83,6.69,US,1603125001
38,Hilo,19.73,-155.09,73.4,78,90,6.78,US,1603125283
39,Ahipara,-35.17,173.17,56.57,90,80,7.52,NZ,1603125192
40,Arraial do Cabo,-22.97,-42.03,80.6,61,40,18.34,BR,1603125000
41,Lüderitz,-26.65,15.16,64.24,59,0,25.84,NA,1603125284
42,Hobart,-42.88,147.33,46.4,93,39,3.36,AU,1603125043
43,Jamestown,42.1,-79.24,51.01,100,90,3.36,US,1603125284
44,Cidreira,-30.18,-50.21,73.2,71,0,13.62,BR,1603125082
45,Aklavik,68.22,-135.01,15.22,88,94,5.55,CA,1603125285
46,Qaanaaq,77.48,-69.36,27.05,82,15,14.9,GL,1603124989
47,Saint Paul Harbor,57.79,-152.41,30.2,92,1,3.36,US,1603125285
48,Mataura,-46.19,168.86,48.99,74,66,15.99,NZ,1603125285
49,Comodoro Rivadavia,-45.87,-67.5,59.0,24,75,21.92,AR,1603125161
50,Torbay,47.67,-52.73,57.99,92,95,6.04,CA,1603125286
51,Bethanien,-26.5,17.16,80.92,16,0,16.15,NA,1603125286
52,Khuzhir,53.19,107.34,33.1,85,100,16.89,RU,1603125286
53,Treinta y Tres,-33.23,-54.38,86.09,51,9,5.37,UY,1603125287
54,Yulara,-25.24,130.99,68.0,82,30,13.87,AU,1603125287
55,Bluff,-46.6,168.33,48.99,75,79,17.0,NZ,1603124992
56,Broken Hill,-31.95,141.43,53.6,54,99,6.93,AU,1603125063
57,Alice Springs,-23.7,133.88,68.0,72,28,6.93,AU,1603125020
58,Butaritari,3.07,172.79,81.72,73,100,12.03,KI,1603124995
59,Dalvik,65.97,-18.53,39.2,69,75,4.7,IS,1603125288
60,Meulaboh,4.14,96.13,78.57,83,95,2.55,ID,1603125190
61,Tselina,46.53,41.03,55.58,89,100,10.49,RU,1603125289
62,Kungurtug,50.6,97.52,16.41,90,95,3.62,RU,1603125289
63,Ushuaia,-54.8,-68.3,39.2,86,75,34.45,AR,1603125289
64,Cagsiay,14.22,121.75,81.12,84,100,17.52,PH,1603125289
65,Saint-Pierre,-21.34,55.48,75.2,73,4,19.46,RE,1603125290
66,Tigil',57.8,158.67,34.54,89,89,12.06,RU,1603125290
67,Puerto Ayora,-0.74,-90.35,77.0,69,75,9.17,EC,1603125144
68,Atuona,-9.8,-139.03,78.17,73,5,22.62,PF,1603125291
69,Guerrero Negro,27.98,-114.06,79.2,56,0,5.35,MX,1603125291
70,Gombe,10.29,11.17,78.8,69,20,5.82,NG,1603125291
71,Bethel,41.37,-73.41,61.0,72,90,5.66,US,1603124999
72,College,64.86,-147.8,17.6,85,90,1.25,US,1603125011
73,Northam,51.03,-4.22,57.0,82,100,15.99,GB,1603125292
74,Portland,45.52,-122.68,57.99,87,75,4.7,US,1603124762
75,Caucayá,-0.19,-74.78,96.17,43,80,0.83,CO,1603125292
76,Ostrovnoy,68.05,39.51,34.11,90,98,8.79,RU,1603125013
77,Dunmore East,52.15,-6.99,55.0,93,75,14.99,IE,1603125293
78,Rincon,32.3,-81.24,79.0,54,20,11.41,US,1603125153
79,Norman Wells,65.28,-126.83,16.57,88,11,6.2,CA,1603125020
80,Villa Bruzual,9.33,-69.12,88.25,66,100,2.62,VE,1603125293
81,Dwārka,22.24,68.97,85.03,74,8,7.49,IN,1603125293
82,Prince George,53.92,-122.75,30.99,97,100,2.77,CA,1603125018
83,Mahébourg,-20.41,57.7,75.2,73,40,8.05,MU,1603125294
84,Tazovsky,67.47,78.7,17.71,96,54,8.37,RU,1603125128
85,Rome,43.21,-75.46,55.4,82,90,3.36,US,1603125294
86,George Town,5.41,100.34,82.4,83,20,4.7,MY,1603125294
87,Bengkulu,-3.8,102.27,76.55,88,94,3.56,ID,1603125295
88,Deputatsky,69.3,139.9,8.01,95,94,5.53,RU,1603125295
89,Kupang,-10.17,123.58,78.49,77,28,6.2,ID,1603125295
90,Katsuura,35.13,140.3,57.2,87,75,6.93,JP,1603125295
91,Avera,33.19,-82.53,73.4,56,1,6.93,US,1603125295
92,Grindavik,63.84,-22.43,42.8,67,51,8.05,IS,1603125296
93,Khandyga,62.67,135.6,13.33,97,85,0.22,RU,1603125181
94,Rantauprapat,2.1,99.83,75.58,90,45,2.3,ID,1603125296
95,Kavieng,-2.57,150.8,82.06,71,22,3.18,PG,1603125296
96,Mount Gambier,-37.83,140.77,39.2,93,40,2.15,AU,1603125067
97,Hong Kong,22.29,114.16,75.99,72,34,1.01,HK,1603125297
98,Castro,-24.79,-50.01,74.19,70,13,5.79,BR,1603124997
99,Nikolskoye,59.7,30.79,36.0,95,90,8.95,RU,1603125297
100,Port Alfred,-33.59,26.89,66.69,85,68,12.26,ZA,1603125297
101,Tinskoy,56.15,96.92,28.62,90,99,10.49,RU,1603125298
102,Bubaque,11.28,-15.83,83.97,80,43,7.87,GW,1603125298
103,Shubarshi,48.59,57.19,57.0,35,0,11.52,KZ,1603125298
104,Bredasdorp,-34.53,20.04,62.6,55,52,17.22,ZA,1603125298
105,Dikson,73.51,80.55,23.99,95,94,19.57,RU,1603125175
106,Bereda,43.27,-7.54,60.01,97,100,15.99,ES,1603125299
107,Nārsingi,18.03,78.43,75.99,94,75,3.49,IN,1603125299
108,Cartagena del Chairá,1.33,-74.84,96.71,43,55,0.6,CO,1603125299
109,Algiers,36.75,3.04,75.2,47,0,9.17,DZ,1603125187
110,Zambezi,-13.54,23.1,79.68,16,0,5.77,ZM,1603125300
111,Ust-Nera,64.57,143.2,3.16,82,71,2.33,RU,1603125300
112,Bayir,37.27,28.22,71.6,53,40,6.93,TR,1603125300
113,Maumere,-8.62,122.21,79.54,76,41,4.07,ID,1603125223
114,Plettenberg Bay,-34.05,23.37,60.87,79,69,7.27,ZA,1603125301
115,Lorengau,-2.02,147.27,80.47,75,72,1.57,PG,1603125301
116,Cartaya,37.28,-7.15,70.0,59,96,15.99,ES,1603125301
117,Cape Town,-33.93,18.42,64.4,45,20,13.87,ZA,1603125123
118,Sept-Îles,50.2,-66.38,45.0,83,98,5.99,CA,1603125140
119,Ilulissat,69.22,-51.1,41.0,56,75,16.11,GL,1603125213
120,Chui,-33.7,-53.46,80.96,54,92,6.4,UY,1603125302
121,Saint-Philippe,-21.36,55.77,75.2,73,32,19.46,RE,1603125302
122,Itarema,-2.92,-39.92,86.41,57,59,20.87,BR,1603125303
123,Port-Gentil,-0.72,8.78,82.4,78,40,18.34,GA,1603125213
124,Kapaa,22.08,-159.32,75.0,75,1,6.98,US,1603125164
125,Mossamedes,-15.2,12.15,73.4,73,75,20.8,AO,1603125180
126,Constitución,-35.33,-72.42,61.41,48,0,16.96,CL,1603125304
127,Dolisie,-4.2,12.67,76.55,83,64,8.32,CG,1603125304
128,Ayutla,20.12,-104.33,80.31,47,2,3.42,MX,1603125304
129,Arrondissement de Laon,49.57,3.67,55.4,58,82,8.05,FR,1603125304
130,Ukiah,39.15,-123.21,66.99,66,1,0.4,US,1603124800
131,Yumen,40.28,97.2,48.09,43,17,18.41,CN,1603125305
132,Aquin,18.28,-73.4,84.49,69,62,5.99,HT,1603125305
133,Provideniya,64.38,-173.3,32.05,87,16,5.1,RU,1603125162
134,Lagoa,39.05,-27.98,64.17,73,99,35.46,PT,1603125305
135,Hermanus,-34.42,19.23,61.0,69,70,4.0,ZA,1603125306
136,Distrikt Brokopondo,4.75,-55.17,91.02,46,6,1.95,SR,1603125306
137,Turka,49.15,23.03,39.99,96,17,5.39,UA,1603125306
138,Salta,-24.79,-65.41,91.4,21,0,4.7,AR,1603125300
139,Saint Anthony,45.02,-93.22,35.01,59,90,3.36,US,1603125062
140,Tasiilaq,65.61,-37.64,32.0,97,40,14.99,GL,1603125307
141,Alta Floresta,-9.88,-56.09,92.43,42,76,5.1,BR,1603125207
142,Swan River,52.11,-101.27,28.9,84,14,5.53,CA,1603125307
143,Codrington,-38.27,141.97,42.64,88,6,3.44,AU,1603125307
144,Evinayong,1.44,10.55,70.92,97,79,2.89,GQ,1603125308
145,Tiksi,71.69,128.87,16.0,93,100,22.08,RU,1603125308
146,Padang,-0.95,100.35,78.75,72,33,3.58,ID,1603125307
147,Nisibis,37.08,41.22,78.8,24,0,6.93,TR,1603125308
148,Yellowknife,62.46,-114.35,23.0,96,94,4.0,CA,1603125309
149,Granja,-3.12,-40.83,100.69,28,63,8.7,BR,1603125309
150,Hirtshals,57.59,9.96,46.0,83,100,9.01,DK,1603125309
151,Baicheng,45.62,122.82,46.98,52,0,8.01,CN,1603125309
152,Samarai,-10.62,150.67,78.98,88,63,8.79,PG,1603125309
153,Pridonskoy,51.68,39.07,46.4,70,81,4.47,RU,1603125310
154,Teguise,29.06,-13.56,75.2,73,20,9.17,ES,1603125310
155,Strezhevoy,60.73,77.59,32.0,99,90,6.71,RU,1603125310
156,Seymchan,62.88,152.43,20.44,94,100,13.76,RU,1603125310
157,Oulainen,64.27,24.8,32.0,90,100,4.0,FI,1603125311
158,Ust'-Kut,56.79,105.77,26.02,94,87,7.27,RU,1603125311
159,Saskylakh,71.92,114.08,20.82,97,85,5.03,RU,1603125311
160,Phek,25.67,94.5,56.55,100,41,2.51,IN,1603125311
161,Johnstown,40.33,-78.92,55.0,58,90,4.7,US,1603125040
162,Necochea,-38.55,-58.74,59.0,72,28,5.99,AR,1603125312
163,Viedma,-40.81,-63.0,66.99,22,0,5.99,AR,1603125166
164,Petropavlovsk-Kamchatskiy,53.05,158.65,41.0,75,92,4.47,RU,1603125312
165,Camacha,33.08,-16.33,73.4,64,20,8.05,PT,1603125312
166,Fortuna,40.6,-124.16,55.0,100,90,5.82,US,1603125156
167,Richards Bay,-28.78,32.04,73.99,81,0,9.6,ZA,1603125313
168,Kalemie,-5.95,29.19,76.91,59,16,2.51,CD,1603125313
169,Waitara,-38.92,174.25,57.87,95,100,9.37,NZ,1603125313
170,Brae,60.4,-1.35,46.4,93,75,31.09,GB,1603125227
171,Kavaratti,10.57,72.64,81.21,73,81,10.29,IN,1603125032
172,Lethem,3.38,-59.8,94.78,41,75,8.97,GY,1603125179
173,Ligayan,4.65,119.47,79.5,81,100,13.06,PH,1603125314
174,Ribeira Grande,38.52,-28.7,66.2,68,40,14.99,PT,1603125314
175,Atagay,55.1,99.39,29.1,91,97,10.51,RU,1603125315
176,Cartagena,10.4,-75.51,86.0,79,75,12.75,CO,1603125091
177,Muborak,39.26,65.15,58.98,32,0,3.11,UZ,1603125315
178,Coaldale,49.72,-112.62,24.01,82,90,1.01,CA,1603125315
179,Faya,18.39,42.45,69.8,15,20,9.17,SA,1603125315
180,General Roca,-39.03,-67.58,66.2,21,0,3.36,AR,1603125316
181,Oistins,13.07,-59.53,87.8,70,20,9.17,BB,1603125316
182,Klaksvík,62.23,-6.59,44.6,70,69,17.22,FO,1603125316
183,Airai,-8.93,125.41,61.02,72,35,1.72,TL,1603125196
184,Cabedelo,-6.98,-34.83,86.0,55,75,11.41,BR,1603125317
185,Laas,46.62,10.7,48.99,75,5,8.05,IT,1603125317
186,Mar del Plata,-38.0,-57.56,62.6,55,75,13.87,AR,1603125317
187,Manado,1.49,124.85,75.2,94,40,2.24,ID,1603125317
188,Misratah,32.38,15.09,71.83,58,56,12.12,LY,1603125317
189,Baykal'sk,51.51,104.15,31.75,90,100,11.54,RU,1603125318
190,Cabo San Lucas,22.89,-109.91,87.01,62,5,3.36,MX,1603125175
191,Chokurdakh,70.63,147.92,16.3,98,99,7.09,RU,1603125318
192,Tombouctou,20.0,-3.0,95.61,11,0,7.18,ML,1603125318
193,Kaeo,-35.1,173.78,53.01,93,23,3.0,NZ,1603125220
194,Puerto Suárez,-18.95,-57.8,91.4,63,40,4.7,BO,1603125319
195,Nanortalik,60.14,-45.24,39.06,87,81,9.62,GL,1603125319
196,Ketchikan,55.34,-131.65,42.8,100,90,6.93,US,1603125312
197,Itoman,26.12,127.67,78.8,83,20,16.11,JP,1603125319
198,Opuwo,-18.06,13.84,86.81,13,1,6.98,NA,1603125320
199,Upernavik,72.79,-56.15,37.87,74,68,26.35,GL,1603125320
200,Hamilton,39.18,-84.53,57.2,93,90,6.93,US,1603125156
201,Port Blair,11.67,92.75,80.89,84,97,12.59,IN,1603125195
202,Nizhniy Kuranakh,58.84,125.49,22.64,95,91,4.32,RU,1603125320
203,Tual,-5.67,132.75,80.38,82,29,11.41,ID,1603125321
204,Abhā,18.22,42.51,69.8,15,20,9.17,SA,1603125321
205,Port Elizabeth,-33.92,25.57,68.0,77,65,6.93,ZA,1603125321
206,Saldanha,-33.01,17.94,66.2,48,96,10.29,ZA,1603125170
207,Biak,-0.91,122.88,76.21,68,33,6.87,ID,1603125322
208,Esperance,-33.87,121.9,57.2,100,90,5.82,AU,1603125322
209,Fécamp,49.76,0.37,57.2,54,100,18.34,FR,1603125322
210,Oak Ridge,36.01,-84.27,68.0,68,97,3.0,US,1603125112
211,East London,-33.02,27.91,68.0,77,20,11.41,ZA,1603125323
212,Assiut,27.18,31.18,95.0,23,0,10.29,EG,1603125323
213,São Filipe,14.9,-24.5,82.47,72,18,10.85,CV,1603125178
214,Polonnaruwa,7.93,81.0,79.14,72,29,9.4,LK,1603125324
215,Mitú,1.2,-70.17,92.79,47,80,2.13,CO,1603125200
216,Coahuayana Viejo,18.73,-103.68,78.8,74,40,6.93,MX,1603125324
217,Iqaluit,63.75,-68.51,33.01,74,42,4.0,CA,1603125324
218,Barrow,71.29,-156.79,21.2,85,90,9.17,US,1603125124
219,Kruisfontein,-34.0,24.73,64.99,79,63,4.0,ZA,1603125236
220,Longyearbyen,78.22,15.64,26.6,79,75,6.93,SJ,1603125325
221,Tocopilla,-22.09,-70.2,67.69,48,11,8.16,CL,1603125325
222,Lazurne,46.08,32.53,51.8,62,38,6.71,UA,1603125325
223,Vanimo,-2.67,141.3,77.95,83,60,1.77,PG,1603125326
224,Bud,39.45,-86.18,46.99,93,90,6.93,US,1603125326
225,Mahibadhoo,3.78,72.97,82.8,77,90,12.46,MV,1603125326
226,Qaqortoq,60.72,-46.03,37.4,93,90,4.7,GL,1603125326
227,Puerto Quijarro,-17.78,-57.77,101.98,30,12,7.27,BO,1603125327
228,Halifax,44.65,-63.57,57.99,93,97,3.67,CA,1603125327
229,Gamba,-2.65,10.0,77.72,85,60,9.78,GA,1603125046
230,Inhambane,-23.86,35.38,71.6,77,0,10.96,MZ,1603125327
231,Edgewater,28.99,-80.9,82.4,69,75,16.11,US,1603125042
232,Porto Santo,33.07,-16.34,73.4,64,20,8.05,PT,1603125328
233,Pimentel,-6.84,-79.93,73.4,56,28,13.87,PE,1603125285
234,Salalah,17.02,54.09,86.0,48,40,4.7,OM,1603125115
235,Korla,41.76,86.15,45.0,85,0,4.0,CN,1603125328
236,Tobatí,-25.25,-57.07,98.6,29,0,11.41,PY,1603125329
237,Bhubaneswar,20.23,85.83,78.8,100,40,3.67,IN,1603125329
238,Souillac,-20.52,57.52,75.2,73,40,8.05,MU,1603125329
239,Voi,-3.39,38.56,75.06,71,53,13.04,KE,1603125329
240,Caxito,-8.58,13.66,80.6,74,40,10.29,AO,1603125330
241,Pevek,69.7,170.31,25.36,94,98,14.03,RU,1603125330
242,Coquimbo,-29.95,-71.34,60.8,67,0,14.99,CL,1603125330
243,Jalapilla,18.83,-97.08,77.04,53,19,6.22,MX,1603125330
244,Charters Towers,-20.1,146.27,66.85,83,8,7.65,AU,1603125330
245,Paraopeba,-19.28,-44.4,68.0,72,75,8.05,BR,1603125331
246,Salamiyah,35.01,37.05,68.94,46,40,6.06,SY,1603125331
247,Mikhaylovka,50.06,43.24,48.81,51,100,3.31,RU,1603125331
248,Grand Gaube,-20.01,57.66,75.0,69,9,5.99,MU,1603125331
249,Farnes,61.32,7.8,32.0,91,75,10.29,NO,1603125332
250,Ajdabiya,30.76,20.23,73.44,72,26,12.71,LY,1603125332
251,Piaçabuçu,-10.41,-36.43,82.04,58,62,12.91,BR,1603125332
252,Clyde River,70.47,-68.59,32.85,94,100,14.41,CA,1603125332
253,Yabēlo,4.88,38.08,61.5,85,24,7.05,ET,1603125332
254,Kaya,13.09,-1.08,96.19,25,56,2.26,BF,1603125333
255,Whitecourt,54.15,-115.69,19.67,92,100,3.96,CA,1603125333
