,City,Lat,Lng,Max Temp.,Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Rikitea,-23.12,-134.97,296.83,81,100,9.08,PF,1603082476
1,Posse,-14.09,-46.37,295.88,70,96,2.42,BR,1603082476
3,Port Keats,-14.25,129.55,304.66,57,58,4.7,AU,1603082476
5,New Norfolk,-42.78,147.06,290.37,64,96,1.79,AU,1603082477
6,Chui,-33.7,-53.46,289.48,92,0,2.99,UY,1603082477
7,Vaini,-21.2,-175.2,296.15,78,75,4.6,TO,1603082189
9,Mar del Plata,-38.0,-57.56,293.15,88,90,3.6,AR,1603082422
10,Alta Floresta,-9.88,-56.09,294.16,96,100,1.32,BR,1603082478
12,Ulladulla,-35.35,150.47,291.15,59,75,6.2,AU,1603082478
15,Lebu,-37.62,-73.65,281.74,85,31,0.84,CL,1603082479
16,Punta Arenas,-53.15,-70.92,275.93,79,75,12.9,CL,1603082479
19,Olinda,-8.01,-34.86,298.15,83,40,4.1,BR,1603082234
22,Vilhena,-12.74,-60.15,293.4,90,100,1.28,BR,1603082481
24,Avarua,-21.21,-159.78,298.15,78,46,2.6,CK,1603082481
26,Bluff,-46.6,168.33,285.37,73,93,5.81,NZ,1603082482
29,São Paulo de Olivença,-3.38,-68.87,295.55,90,92,0.62,BR,1603082482
31,Busselton,-33.65,115.33,300.37,33,8,4.3,AU,1603082483
32,Saldanha,-33.01,17.94,282.15,93,79,0.5,ZA,1603082189
34,Faanui,-16.48,-151.75,299.56,81,75,5.43,PF,1603082211
39,Mahébourg,-20.41,57.7,298.15,69,40,4.6,MU,1603082195
40,Lima,-12.04,-77.03,290.15,82,20,4.6,PE,1603082484
43,Castro,-24.79,-50.01,287.64,94,79,3.62,BR,1603082485
44,Mossamedes,-15.2,12.15,292.39,83,0,0.83,AO,1603082485
47,Banyumas,-7.51,109.29,293.15,69,71,2.82,ID,1603082486
49,Hobart,-42.88,147.33,290.37,66,75,5.1,AU,1603082305
51,Port Alfred,-33.59,26.89,290.64,78,76,2.62,ZA,1603082487
52,Kununurra,-15.77,128.73,311.15,29,30,3.1,AU,1603082280
53,Antsohihy,-14.88,47.99,302.09,36,0,3.71,MG,1603082488
54,Ancud,-41.87,-73.82,279.82,93,20,2.1,CL,1603082488
55,Namatanai,-3.67,152.43,302.91,63,53,1.81,PG,1603082214
56,Saint-Philippe,-21.36,55.77,299.26,69,75,6.2,RE,1603082488
57,Puerto Ayora,-0.74,-90.35,294.26,90,99,3.58,EC,1603082489
62,Port Elizabeth,-33.92,25.57,287.15,93,75,1.0,ZA,1603082490
64,Mariental,-24.63,17.97,294.15,22,0,3.63,NA,1603082490
69,Florianópolis,-27.61,-48.5,295.15,83,75,2.6,BR,1603082292
72,Ushuaia,-54.8,-68.3,275.15,69,40,5.7,AR,1603082205
75,Tuatapere,-46.13,167.68,285.37,74,93,5.36,NZ,1603082241
84,Grand Gaube,-20.01,57.66,299.82,61,0,5.36,MU,1603082495
87,Kieta,-6.22,155.63,301.97,69,62,0.61,PG,1603082496
88,Plettenberg Bay,-34.05,23.37,288.73,71,100,0.47,ZA,1603082496
90,Villa María,-32.41,-63.24,300.93,56,0,3.58,AR,1603082497
94,Cape Town,-33.93,18.42,288.71,87,86,3.6,ZA,1603082493
95,Manacapuru,-3.3,-60.62,298.15,94,20,1.0,BR,1603082497
99,Mataura,-46.19,168.86,285.37,73,99,5.81,NZ,1603082498
101,Rio Casca,-20.23,-42.65,293.17,76,100,2.44,BR,1603082499
102,Muswellbrook,-32.27,150.9,296.48,46,75,3.13,AU,1603082499
104,Betioky,-23.72,44.38,300.83,41,1,3.09,MG,1603082500
109,Hithadhoo,-0.6,73.08,301.64,75,74,6.4,MV,1603082501
114,Lorengau,-2.02,147.27,301.83,75,86,2.14,PG,1603082502
115,Carutapera,-1.2,-46.02,298.17,84,27,2.65,BR,1603082502
116,Norsup,-16.07,167.38,300.15,69,75,4.6,VU,1603082502
117,Eirunepé,-6.66,-69.87,295.78,90,93,0.73,BR,1603082502
118,Codrington,-38.27,141.97,286.57,74,96,3.79,AU,1603082503
119,Esperance,-33.87,121.9,295.15,60,75,3.6,AU,1603082503
122,Hermanus,-34.42,19.23,286.48,89,83,0.83,ZA,1603082204
129,Santa Cruz de la Sierra,-17.8,-63.17,298.15,73,12,2.6,BO,1603082279
131,Seddon,-37.81,144.89,289.26,72,90,5.7,AU,1603082505
132,Isangel,-19.55,169.27,297.7,73,43,5.36,VU,1603082506
136,Aranos,-24.13,19.12,293.23,24,8,1.21,NA,1603082507
140,Bengkulu,-3.8,102.27,302.02,67,62,2.78,ID,1603082508
146,Bredasdorp,-34.53,20.04,287.15,93,93,1.5,ZA,1603082509
149,Kruisfontein,-34.0,24.73,287.74,77,100,1.78,ZA,1603082510
152,Biak,-0.91,122.88,301.83,67,100,2.97,ID,1603082510
158,Aquidauana,-20.47,-55.79,295.33,90,95,1.91,BR,1603082512
161,Nacala,-14.54,40.67,298.83,68,56,1.62,MZ,1603082513
164,Airai,-8.93,125.41,299.99,41,60,2.21,TL,1603082513
166,Atuona,-9.8,-139.03,298.88,76,1,8.84,PF,1603082514
169,Diamantino,-14.41,-56.45,299.25,65,82,1.12,BR,1603082515
180,Fayaoué,-20.65,166.53,296.92,70,14,3.29,NC,1603082517
181,Carnarvon,-24.87,113.63,297.15,64,50,8.2,AU,1603082517
182,Poum,-20.23,164.02,296.87,66,1,5.37,NC,1603082518
183,Kavieng,-2.57,150.8,302.96,62,53,2.51,PG,1603082518
194,Durban,-29.86,31.03,293.15,77,90,2.1,ZA,1603082521
195,Arraial do Cabo,-22.97,-42.03,294.88,80,99,9.37,BR,1603082521
196,Honiara,-9.43,159.95,297.15,88,75,8.2,SB,1603082521
198,Henties Bay,-22.12,14.28,287.59,91,0,1.34,NA,1603082522
201,Morón,-34.65,-58.62,299.26,70,0,1.79,AR,1603082362
208,Moshupa,-24.78,25.42,293.15,45,0,3.6,BW,1603082524
210,Waipawa,-41.41,175.52,289.15,93,97,13.9,NZ,1603082524
213,Pisco,-13.7,-76.22,290.15,77,0,3.1,PE,1603082525
214,Geraldton,-28.77,114.6,296.15,60,90,5.7,AU,1603082525
217,Dunedin,-45.87,170.5,284.26,86,100,3.91,NZ,1603082526
225,Flinders,-34.58,150.86,290.93,68,46,0.45,AU,1603082351
226,Camocim,-2.9,-40.84,297.74,88,26,5.14,BR,1603082243
230,Kaitangata,-46.28,169.85,284.26,86,100,3.34,NZ,1603082529
231,Auki,-8.77,160.7,301.29,78,40,0.93,SB,1603082529
234,Rawson,-43.3,-65.1,286.42,37,0,11.3,AR,1603082363
235,Saint-Joseph,-21.37,55.62,299.26,74,20,6.7,RE,1603082530
237,Bambous Virieux,-20.34,57.76,299.82,69,40,4.6,MU,1603082530
244,Lüderitz,-26.65,15.16,289.57,54,1,6.75,NA,1603082234
245,Necochea,-38.55,-58.74,287.04,85,86,1.34,AR,1603082532
251,Comarapa,-17.9,-64.48,288.22,78,2,1.41,BO,1603082533
252,Mungwi,-10.17,31.37,293.24,57,0,1.95,ZM,1603082534
253,Maxixe,-23.86,35.35,296.53,66,0,2.72,MZ,1603082534
258,Cairns,-16.92,145.77,302.59,58,6,3.6,AU,1603082455
260,Jacareacanga,-6.22,-57.75,295.8,96,98,0.82,BR,1603082536
262,Manicoré,-5.81,-61.3,296.55,96,100,0.66,BR,1603082253
274,Port Lincoln,-34.73,135.87,288.62,59,2,4.3,AU,1603082539
277,Morros,-9.45,-46.3,300.3,39,90,1.78,BR,1603082539
286,Tucuruí,-3.77,-49.67,297.81,81,2,2.22,BR,1603082360
291,Serenje,-13.23,30.24,293.45,31,0,2.78,ZM,1603082542
294,Lufilufi,-13.87,-171.6,303.15,70,75,1.5,WS,1603082543
295,Coquimbo,-29.95,-71.34,284.15,87,0,2.6,CL,1603082493
299,Byron Bay,-28.65,153.62,298.15,64,40,5.1,AU,1603082545
300,Ahipara,-35.17,173.17,290.15,76,50,4.82,NZ,1603082545
305,Nova Olímpia,-14.8,-57.29,295.64,85,44,1.18,BR,1603082546
309,Port Macquarie,-31.43,152.92,293.15,71,99,0.89,AU,1603082547
311,Hervey Bay,-25.3,152.85,301.48,48,61,9.3,AU,1603082547
325,Cidreira,-30.18,-50.21,292.58,81,0,8.87,BR,1603082551
329,Samarinda,-0.5,117.15,305.14,55,67,1.81,ID,1603082373
331,Yeppoon,-23.13,150.73,307.15,28,40,1.5,AU,1603082552
334,Otane,-39.88,176.63,290.37,79,100,7.6,NZ,1603082553
337,Saint-Pierre,-21.34,55.48,299.26,74,20,6.7,RE,1603082554
339,Paragominas,-2.97,-47.48,294.93,97,43,1.57,BR,1603082554
341,Sola,-13.88,167.55,299.59,77,18,8.66,VU,1603082555
342,Almeirim,-1.52,-52.58,296.52,86,56,1.9,BR,1603082555
346,Yulara,-25.24,130.99,297.15,64,75,6.7,AU,1603082556
355,Swakopmund,-22.68,14.53,287.59,87,0,5.1,NA,1603082558
357,Takapau,-40.03,176.35,290.37,79,100,7.6,NZ,1603082558
358,Malanje,-9.54,16.34,292.66,94,97,2.55,AO,1603082559
359,Alofi,-19.06,-169.92,296.86,81,100,6.73,NU,1603082559
364,Sesheke,-17.48,24.3,288.15,38,0,1.78,ZM,1603082560
366,Vao,-22.67,167.48,295.3,79,36,6.98,NC,1603082560
367,Mount Isa,-20.73,139.5,312.15,11,55,2.6,AU,1603082560
368,Farafangana,-22.82,47.83,295.98,77,94,4.09,MG,1603082561
373,Omboué,-1.57,9.26,298.02,90,99,3.86,GA,1603082562
378,Ponta Grossa,-25.09,-50.16,287.51,96,33,3.07,BR,1603082563
383,Batemans Bay,-35.72,150.18,289.82,62,57,2.68,AU,1603082564
385,Aitape,-3.14,142.35,302.54,71,100,2.82,PG,1603082564
394,Xique-Xique,-10.82,-42.73,297.64,69,48,9.87,BR,1603082346
400,Colac,-38.33,143.58,287.04,76,94,2.41,AU,1603082417
402,Luau,-10.71,22.22,293.8,72,2,0.63,AO,1603082568
403,Santa Maria,-29.68,-53.81,291.24,71,0,2.05,BR,1603082568
406,Toowoomba,-27.55,151.97,298.15,41,0,4.6,AU,1603082569
409,Queimadas,-10.98,-39.63,294.47,87,52,3.28,BR,1603082570
412,Tual,-5.67,132.75,300.42,77,51,5.53,ID,1603082570
413,Mpika,-11.83,31.45,293.54,56,0,3.74,ZM,1603082571
415,Constitución,-35.33,-72.42,282.13,72,0,3.82,CL,1603082571
419,Nsoko,-27.03,31.95,295.1,73,99,1.31,SZ,1603082572
423,Alice Springs,-23.7,133.88,296.15,60,75,5.1,AU,1603082573
425,Vaitape,-16.52,-151.75,300.01,80,73,5.49,PF,1603082574
427,Te Anau,-45.42,167.72,281.76,84,95,0.83,NZ,1603082574
428,San Rafael,-34.62,-68.33,291.23,28,0,4.0,AR,1603082434
429,Rumphi,-11.02,33.86,297.7,42,0,3.83,MW,1603082575
431,Manggar,-2.88,108.27,301.46,74,100,3.27,ID,1603082575
433,Broken Hill,-31.95,141.43,293.15,30,72,5.1,AU,1603082575
436,Kefamenanu,-9.45,124.48,306.97,27,10,5.83,ID,1603082576
438,Ballina,-28.87,153.57,298.15,64,40,5.1,AU,1603082577
439,San Vicente,-26.62,-54.13,291.0,69,0,1.0,AR,1603082577
441,Cap Malheureux,-19.98,57.61,299.82,61,1,5.36,MU,1603082577
444,Mareeba,-17.0,145.43,305.37,58,4,3.6,AU,1603082578
445,Caravelas,-17.71,-39.25,295.32,79,91,3.2,BR,1603082578
448,Santa Isabel,-23.32,-46.22,292.15,88,75,4.1,BR,1603082380
454,Natal,-5.79,-35.21,297.15,83,40,2.6,BR,1603082424
461,Waingapu,-9.66,120.26,304.25,59,9,6.22,ID,1603082582
464,Kongolo,-5.38,27.0,295.5,87,100,0.18,CD,1603082582
465,Pozo Colorado,-23.49,-58.8,295.7,73,5,2.55,PY,1603082583
470,Springbok,-29.66,17.89,287.52,36,54,0.98,ZA,1603082584
471,Padang,-0.95,100.35,303.74,56,22,2.34,ID,1603082584
480,Hualmay,-11.1,-77.61,289.33,85,11,4.07,PE,1603082586
484,Kansanshi,-12.1,26.43,290.89,52,0,2.06,ZM,1603082587
497,Taubaté,-23.03,-45.56,290.1,93,99,1.64,BR,1603082590
498,Villarrica,-25.75,-56.43,294.44,72,0,1.25,PY,1603082590
500,Villazón,-22.09,-65.59,284.3,62,13,2.93,BO,1603082590
503,Huarmey,-10.07,-78.15,289.7,86,5,3.5,PE,1603082591
506,Souillac,-20.52,57.52,298.15,69,40,4.6,MU,1603082591
511,Prieska,-29.66,22.75,296.23,19,22,1.71,ZA,1603082592
513,Anori,-3.77,-61.64,296.85,94,100,0.7,BR,1603082593
516,Daru,-9.08,143.21,301.66,75,77,5.75,PG,1603082594
529,Mutoko,-17.4,32.23,293.34,45,0,1.07,ZW,1603082596
530,Comodoro Rivadavia,-45.87,-67.5,281.15,39,2,14.4,AR,1603082596
538,Cardoso,-20.08,-49.91,298.54,66,96,3.29,BR,1603082599
541,East London,-33.02,27.91,288.15,82,40,2.1,ZA,1603082599
