,City,Country,Lat,Lng,Max Temp. (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
256,Makungu,TZ,-8.73,35.28,68.43,66,19,7.47,1603125333
257,Zhangzhou,CN,24.51,117.66,71.6,64,40,11.18,1603125270
258,Vardø,NO,70.37,31.11,37.4,86,75,16.11,1603125096
259,Scalea,IT,39.81,15.8,60.01,79,9,3.15,1603125334
260,Sola,VU,-13.88,167.55,79.52,78,99,16.82,1603125334
261,Kirkwall,GB,58.98,-2.96,48.2,93,75,8.05,1603125335
262,Lakatoro,VU,-16.1,167.42,77,83,40,3.36,1603125335
263,Beloha,MG,-25.17,45.05,69.62,76,0,11.25,1603125157
264,Tongzi,CN,28.78,105.09,57.81,90,100,2.62,1603125335
265,Nishihara,JP,26.18,127.76,78.8,83,20,16.11,1603125335
266,‘Āhuimanu,US,21.44,-157.84,75.2,94,75,6.22,1603125136
267,Oro Valley,US,32.39,-110.97,80.01,15,47,1.01,1603125336
268,Cap Malheureux,MU,-19.98,57.61,75,69,6,5.99,1603125336
269,Khasan,RU,42.43,130.64,51.06,59,0,4,1603125336
270,Tegul'det,RU,57.31,88.17,31.86,92,100,8.99,1603125336
271,Umba,RU,66.69,34.34,32.52,94,100,12.77,1603125337
272,Khovd,MN,48.01,91.64,26.24,77,0,2.93,1603125337
273,Port Moresby,PG,-9.44,147.18,78.8,83,40,4.7,1603125337
274,Bend,US,44.06,-121.32,53.6,62,1,5.82,1603125154
275,Kalmunai,LK,7.42,81.82,81.14,80,71,2.98,1603125218
276,Somerset,US,40.57,-74.55,68,68,75,6.4,1603125338
277,Jalu,LY,29.03,21.55,82.99,25,78,6.44,1603125338
278,Kulai,MY,1.66,103.6,79,94,20,2.24,1603125339
279,Westport,US,41.14,-73.36,66,72,40,10.29,1603125339
280,Tucuruí,BR,-3.77,-49.67,99.36,32,43,5.88,1603125339
281,Harper,LR,4.38,-7.72,79.79,81,57,10.58,1603125340
282,Payo,ID,-3.75,103.64,73.9,94,96,2.06,1603125340
283,Cherskiy,RU,68.75,161.3,17.65,95,55,4.76,1603125340
284,Kutum,SD,14.2,24.67,82.92,15,11,8.52,1603125340
285,Bandar,ID,2.05,99.75,75.22,87,40,2.55,1603125340
286,Ende,ID,-8.84,121.66,77.83,75,89,0.18,1603125341
287,Vallenar,CL,-28.57,-70.76,86.16,13,0,8.46,1603125180
288,Werda,BW,-25.27,23.28,91.02,12,15,7.2,1603125341
289,Dossor,KZ,47.53,52.98,62.83,25,0,9.6,1603125342
290,Tiznit Province,MA,29.58,-9.5,79.47,24,0,2.06,1603125342
291,Hauterive,FR,46.09,3.45,62.6,55,100,3.36,1603125342
292,Pangnirtung,CA,66.15,-65.71,30.29,94,100,12.86,1603125213
293,Clifton,US,40.86,-74.16,64.99,72,75,5.82,1603125342
294,Ixtapa,MX,20.7,-105.2,88,70,40,3.36,1603125343
295,Kurush,RU,41.28,47.83,60.8,77,14,4.7,1603125343
296,San Cristobal,VE,7.77,-72.22,86,55,40,9.17,1603125343
297,Beyneu,KZ,45.32,55.2,60.31,27,0,14.05,1603125343
298,Camden,US,39.78,-74.97,70,67,94,6.08,1603125343
299,Peniche,PT,39.36,-9.38,66.99,89,100,20,1603125344
300,Burnie,AU,-41.07,145.92,46,78,45,5.01,1603125082
301,Palmer,US,42.16,-72.33,63,67,75,4.52,1603125344
302,Vao,NC,-22.67,167.48,72.28,79,18,16.49,1603125344
303,Prince Rupert,CA,54.32,-130.32,45.14,84,95,4.83,1603125344
304,Bilma,NE,18.69,12.92,88.79,12,0,5.17,1603125345
305,Cayenne,GF,4.93,-52.33,91.4,59,14,11.41,1603125345
306,Ivaiporã,BR,-24.25,-51.68,87.85,38,14,5.5,1603125345
307,Luang Prabang,LA,19.89,102.13,66.52,88,99,2.19,1603125345
308,Vila Velha,BR,-20.33,-40.29,77,83,90,8.05,1603125342
309,Tuskegee,US,32.42,-85.69,78.01,100,1,5.99,1603125346
310,Świnoujście,PL,53.91,14.25,50,85,95,12.24,1603125346
311,Fairbanks,US,64.84,-147.72,17.6,85,75,1.12,1603125346
312,Monte Patria,CL,-30.69,-70.95,84.47,14,0,7.72,1603125346
313,Hambantota,LK,6.12,81.12,82.4,78,40,14.99,1603125347
314,El'brus,RU,43.26,42.64,46.13,66,95,8.66,1603125347
315,Robertsport,LR,6.75,-11.37,79.92,83,100,9.15,1603125069
316,Zhigansk,RU,66.77,123.37,11.16,94,100,7.36,1603125347
317,Alexandria,EG,31.22,29.96,80.6,69,40,17.22,1603125347
318,Caravelas,BR,-17.71,-39.25,79.68,60,100,7.94,1603125172
319,Karratha,AU,-20.74,116.85,68.58,80,0,13.09,1603125339
320,Lagos,NG,6.58,3.75,80.17,82,67,6.49,1603125291
321,Quelimane,MZ,-17.88,36.89,74.64,80,0,9.13,1603125348
322,Dawei,MM,14.08,98.2,74.68,89,96,4.21,1603125348
323,Rawson,AR,-43.3,-65.1,60.12,30,0,24.18,1603125349
324,Kathu,TH,7.92,98.33,86,94,20,1.12,1603125349
325,Srednekolymsk,RU,67.45,153.68,16.72,96,84,3.65,1603125349
326,Kahului,US,20.89,-156.47,72,73,1,5.82,1603125251
327,Havøysund,NO,71,24.66,33.8,78,90,3.36,1603125350
328,Chapais,CA,49.78,-74.85,34.74,85,96,5.99,1603125063
329,Hitoyoshi,JP,32.22,130.75,60.01,72,53,10,1603125350
330,Kuala Terengganu,MY,5.33,103.14,80.6,88,20,3.36,1603125080
331,Bonthe,SL,7.53,-12.51,81.75,80,99,6.11,1603125351
332,Mounana,GA,-1.41,13.16,86,66,40,5.82,1603125351
333,Usakos,NA,-22,15.6,80.8,21,0,15.03,1603125351
334,Severo-Kuril'sk,RU,50.68,156.12,41.4,71,100,9.51,1603125351
335,Yafran,LY,32.06,12.53,61.66,61,6,11.3,1603125085
336,Nicoya,CR,10.15,-85.45,86,74,40,6.93,1603125330
337,Kununurra,AU,-15.77,128.73,82.4,83,77,5.82,1603125352
338,Muyezerskiy,RU,63.93,31.65,30.99,98,100,13.56,1603125352
339,Yangi Marg`ilon,UZ,40.43,71.72,57.2,54,0,6.93,1603125353
340,Kondoa,TZ,-4.9,35.78,74.53,41,89,6.17,1603125353
341,Port Hedland,AU,-20.32,118.57,73.4,83,0,12.75,1603125353
342,Awjilah,LY,29.11,21.29,83.48,27,84,8.84,1603125354
343,Santa Rosa,PH,14.31,121.11,82.4,78,75,3.36,1603125354
344,Barra de Tecoanapa,MX,16.52,-98.75,87.26,58,70,4.85,1603125354
345,Aykhal,RU,66,111.5,15.8,92,90,4.47,1603125354
346,Talnakh,RU,69.49,88.4,15.8,85,90,11.18,1603125355
347,Rocha,UY,-34.48,-54.33,86.97,54,40,6.55,1603125355
348,Lindi,TZ,-10,39.72,80.6,69,20,9.17,1603125355
349,Ijuí,BR,-28.39,-53.91,92.01,32,0,1.81,1603125356
350,Ibb,YE,13.97,44.18,63.66,69,0,1.59,1603125356
351,Paita,PE,-5.09,-81.11,78.8,65,13,21.92,1603125356
352,Husavik,IS,66.04,-17.34,39.2,69,75,4.7,1603125356
353,Honiara,SB,-9.43,159.95,75.2,94,20,2.24,1603125337
354,Aachen,DE,50.78,6.08,51.01,71,51,6.31,1603125357
355,Bolobo,CD,-2.17,16.23,78.58,76,32,2.68,1603125357
356,Tétouan,MA,35.57,-5.37,71.6,73,75,10.29,1603125116
357,Quatre Cocos,MU,-20.21,57.76,75.2,73,40,8.05,1603125357
358,Kondinskoye,RU,59.65,67.41,40.23,98,100,10.63,1603125277
359,Le Port,RE,-20.94,55.29,75.2,69,75,11.41,1603125358
360,Shingū,JP,33.73,135.98,52.61,77,82,7.23,1603125358
361,Panzós,GT,15.4,-89.67,84.13,66,71,2.95,1603125358
362,Goderich,CA,43.75,-81.72,51.01,80,100,2.64,1603125359
363,Takoradze,GH,4.88,-1.76,80.33,80,90,11.43,1603125189
364,Nemuro,JP,43.32,145.57,52.9,68,15,7.81,1603125359
365,Borogontsy,RU,62.67,131.17,7.07,95,58,0.76,1603125359
366,Esso,RU,55.93,158.7,25.47,88,96,3.4,1603125360
367,Daru,PG,-9.08,143.21,78.03,89,76,10.33,1603125360
368,Taos,US,36.41,-105.57,61,25,1,7.2,1603125361
369,Sarkand,KZ,45.41,79.92,50.18,40,23,3.94,1603125361
370,Presidente Médici,BR,-11.18,-61.9,88.32,53,99,9.4,1603125361
371,Ayan,RU,56.45,138.17,27.5,84,61,16.11,1603125127
372,Krasne,UA,49.91,24.61,44.6,87,78,4.47,1603125362
373,Araouane,ML,18.9,-3.53,96.28,13,0,8.63,1603125362
374,Colchester,GB,51.89,0.9,55,66,100,13.87,1603125250
375,Gairo,IT,39.85,9.5,66.2,63,20,3.36,1603125362
376,Myitkyina,MM,25.38,97.4,71.51,92,51,2.75,1603125363
377,Knyaze-Volkonskoye,RU,48.46,135.46,28.4,58,5,6.71,1603125363
378,Opole Voivodeship,PL,50.5,18,48,83,71,1.01,1603125363
379,Coyhaique,CL,-45.58,-72.07,48.2,45,75,4.7,1603125363
380,Raja,SS,8.46,25.68,73.85,86,22,2.89,1603125364
381,Erdenet,MN,49.03,104.08,23.85,96,77,14.63,1603125364
382,Garissa,KE,-0.45,39.64,86.11,47,32,20.07,1603125364
383,Amargosa,BR,-13.03,-39.6,83.55,56,72,10.54,1603125320
384,Kalyazin,RU,57.24,37.84,35.8,91,96,11.14,1603125365
385,Hasaki,JP,35.73,140.83,54,100,75,6.93,1603125365
386,Tuatapere,NZ,-46.13,167.68,48.99,74,72,15.99,1603125365
387,Jardim,BR,-21.48,-56.14,94.89,38,0,4.38,1603125366
388,Tsaratanana,MG,-16.78,47.65,77.38,55,18,15.12,1603125366
389,Mandera,KE,3.94,41.87,90.37,39,59,2.71,1603125366
390,Narsaq,GL,60.92,-46.05,37.4,93,90,4.7,1603125366
391,Sitka,US,57.05,-135.33,42.8,81,75,13.87,1603125367
392,Kidal,ML,18.44,1.41,98.06,10,0,1.52,1603125185
393,Avarua,CK,-21.21,-159.78,73.4,94,7,3.36,1603125147
394,Tutóia,BR,-2.76,-42.27,86.43,64,78,15.43,1603125367
395,Vestmanna,FO,62.16,-7.17,44.6,70,62,17.22,1603125368
396,Isangel,VU,-19.55,169.27,73.4,83,75,6.93,1603125368
397,Ürümqi,CN,43.8,87.6,50,45,0,4.47,1603125368
398,Asău,RO,46.43,26.4,50,61,2,10.29,1603125368
399,St. George's,GD,12.06,-61.75,87.8,70,20,17.22,1603125369
400,Maragogi,BR,-9.01,-35.22,80.17,68,57,11.99,1603125369
401,Bathsheba,BB,13.22,-59.52,87.8,70,20,9.17,1603125285
402,Collie,AU,-33.37,116.15,59,65,61,8.46,1603125370
403,Port Huron,US,42.97,-82.42,45,87,90,1.61,1603125370
404,Luau,AO,-10.71,22.22,76.84,44,99,3.38,1603125370
405,Ilebo,CD,-4.32,20.58,79.02,76,75,0.76,1603125370
406,Ginda,IN,30.69,78.49,55.9,55,0,3.98,1603125370
407,Tortolì,IT,39.93,9.66,66.2,63,20,3.36,1603125371
408,Qasigiannguit,GL,68.82,-51.19,41,56,75,16.11,1603125188
409,Luxor,EG,25.7,32.64,91.4,27,0,9.89,1603125371
410,Makakilo City,US,21.35,-158.09,75.2,88,75,8.68,1603125089
411,Pisco,PE,-13.7,-76.22,69.8,68,0,9.17,1603125372
412,Flinders,AU,-34.58,150.86,61,79,100,1.01,1603125372
413,Tautira,PF,-17.73,-149.15,77,83,40,14.99,1603125372
414,Mīnāb,IR,27.15,57.08,71.6,26,0,4.7,1603125372
415,Sobolevo,RU,54.43,31.9,38.77,76,26,14.07,1603125373
416,Tabou,CI,4.42,-7.35,79.38,80,21,10.07,1603125373
417,Kuril'sk,RU,45.23,147.88,49.21,67,69,11.63,1603125373
418,Namatanai,PG,-3.67,152.43,80.37,73,36,1.32,1603125374
419,The Valley,AI,18.22,-63.06,86,74,20,8.05,1603125214
420,Margate,GB,51.38,1.39,55.99,66,100,5.99,1603125374
421,Peace River,CA,56.25,-117.29,17.01,90,96,3.33,1603125374
422,Varna,BG,43.22,27.92,59,47,1,3.36,1603125374
423,São João da Barra,BR,-21.64,-41.05,77,69,75,23.04,1603125375
424,Mtwara,TZ,-10.27,40.18,80.6,69,20,9.17,1603125375
425,Kaduqli,SD,11.02,29.72,80.51,60,70,3.71,1603125375
426,Verāval,IN,20.9,70.37,82.89,79,35,7.54,1603125376
427,Noyabrsk,RU,63.2,75.45,30.52,99,100,9.33,1603125127
428,Ancud,CL,-41.87,-73.82,53.6,54,40,9.17,1603125376
429,Middle Island,US,40.88,-72.94,64.99,63,75,6.93,1603125376
430,Dunedin,NZ,-45.87,170.5,46,82,25,1.01,1603125131
431,Devils Lake,US,48.11,-98.87,26.6,49,90,10.29,1603125189
432,Tulum,MX,20.22,-87.47,86,74,40,9.17,1603125377
433,Beringovskiy,RU,63.05,179.32,36.52,82,11,11.3,1603125377
434,Bosaso,SO,11.28,49.18,79.47,59,0,2.35,1603125378
435,At-Bashi,KG,41.17,75.81,40.82,55,0,6.71,1603125378
436,Yarmouth,US,41.71,-70.23,60.8,59,1,5.82,1603125249
437,Barra do Garças,BR,-15.89,-52.26,77.76,73,95,5.79,1603125378
438,Chetwayi,IN,10.53,76.05,80.6,88,40,2.24,1603125378
439,Chul'man,RU,56.85,124.91,17.49,96,100,3.29,1603125379
440,Paamiut,GL,61.99,-49.67,39.76,83,98,16.28,1603125145
441,Jumla,NP,29.27,82.18,51.03,61,0,3.78,1603125379
442,Saint George,US,37.1,-113.58,59,22,1,1.07,1603125158
443,Vryburg,ZA,-26.96,24.73,84.99,14,16,10.94,1603125379
444,Mbini,GQ,1.57,9.61,80.6,94,40,5.82,1603125380
445,Aitape,PG,-3.14,142.35,77.22,86,92,4.43,1603125380
446,Flin Flon,CA,54.77,-101.86,27.46,88,0,5.23,1603125380
447,Pangai,TO,-19.8,-174.35,73.27,77,0,18.97,1603125381
448,Leningradskiy,RU,69.38,178.42,27.55,91,100,6.62,1603125381
449,Nikel,RU,69.41,30.22,33.8,97,75,11.41,1603125127
450,Epe,NG,6.58,3.98,80.83,81,82,6.69,1603125381
451,Concepción del Oro,MX,24.63,-101.42,68.18,38,0,0.47,1603125382
452,Suleja,NG,9.18,7.18,86,70,20,8.05,1603125382
453,Pustoshka,RU,56.34,29.37,38.34,77,98,11.34,1603125187
454,Puerto Carreño,CO,6.19,-67.49,90.72,54,99,4.85,1603125382
455,Kyra,RU,49.58,111.98,33.4,87,97,5.44,1603125383
456,Raton,US,36.9,-104.44,57.2,30,1,10.29,1603125383
457,Santa Rosalía,MX,27.32,-112.28,89.76,31,0,4.41,1603125383
458,Chatham,GB,51.38,0.53,55.99,61,100,1.01,1603125383
459,Nome,US,64.5,-165.41,39.2,93,90,5.82,1603125384
460,Pingliang,CN,35.54,106.69,47.77,53,100,2.64,1603125384
461,Yar-Sale,RU,66.83,70.83,18.18,96,0,3.62,1603125186
462,Atasū,KZ,48.68,71.64,45.21,44,14,6.96,1603125384
463,Haines Junction,CA,60.75,-137.51,23.79,79,100,0.63,1603125385
464,Hualmay,PE,-11.1,-77.61,69.94,63,7,11.16,1603125385
465,Yerbogachën,RU,61.28,108.01,26.06,97,100,10.54,1603125385
466,Hervey Bay,AU,-25.3,152.85,71.01,88,75,5.82,1603125385
467,Ugoofaaru,MV,5.67,73,82.27,78,82,10,1603125386
468,Shawnee,US,39.05,-95.77,42.8,52,90,9.17,1603125362
469,Palmeirais,BR,-5.98,-43.06,104.7,19,60,6.44,1603125386
470,Chara,RU,56.91,118.26,29.61,96,100,2.24,1603125387
471,Den Helder,NL,52.96,4.76,52,81,90,8.05,1603125132
472,Singaraja,ID,-8.11,115.09,78.53,75,96,1.72,1603125387
473,Sur,OM,22.57,59.53,80.83,35,0,9.6,1603125335
474,Kailua,US,21.4,-157.74,75.2,94,75,7.52,1603125387
475,Naze,JP,28.37,129.48,75.2,83,75,14.99,1603125388
476,St Austell,GB,50.34,-4.77,55.4,82,100,25.28,1603125388
477,São Gabriel da Cachoeira,BR,-0.13,-67.09,93.7,52,86,0.78,1603125388
478,Dongsheng,CN,39.82,109.98,45.84,50,100,12.88,1603125389
479,Geraldton,AU,-28.77,114.6,66.2,72,75,9.17,1603125389
480,Hopkinsville,US,36.87,-87.49,62.6,100,90,9.51,1603125389
481,Pilar,BR,-9.6,-35.96,87.8,52,40,12.75,1603125389
482,Pacifica,US,37.61,-122.49,68,82,1,1.34,1603125390
483,Mozarlândia,BR,-14.74,-50.57,86.63,52,96,13.91,1603125390
484,Cap-aux-Meules,CA,47.38,-61.86,50.59,82,94,10.31,1603125390
485,Sindhnūr,IN,15.78,76.77,77,81,97,3.89,1603125390
486,San Patricio,US,28.02,-97.52,84.99,74,40,14.99,1603125239
487,Abadzekhskaya,RU,44.39,40.22,54.99,87,100,6.06,1603125391
488,Būlaevo,KZ,54.91,70.44,48.33,63,100,13.4,1603125391
489,Gushikawa,JP,26.35,127.87,78.8,88,40,13.87,1603125391
490,Erenhot,CN,43.65,111.98,50.85,38,86,21.94,1603125392
491,Labuhan,ID,-6.88,112.21,77.63,83,100,5.88,1603125392
492,Grójec,PL,51.86,20.87,45,10,45,6.82,1603125392
493,Abonnema,NG,4.71,6.79,77,94,75,8.34,1603125393
494,Acaraú,BR,-2.89,-40.12,87.84,54,59,21.92,1603125393
495,Kapit,MY,2.02,112.93,74.44,93,91,0.49,1603125393
496,Coxim,BR,-18.51,-54.76,95.07,39,75,11.79,1603125393
497,Sokoni,TZ,-6.43,39.55,86,55,20,10.29,1603125394
498,Nowa Sól,PL,51.8,15.72,48.2,81,75,4.7,1603125394
499,Lavrentiya,RU,65.58,-171,31.71,89,0,2.42,1603125394
500,Burbach,DE,50.75,8.08,53.01,81,20,5.82,1603125394
501,Arrecife,ES,28.96,-13.55,75.2,73,20,9.17,1603125395
502,Thinadhoo,MV,0.53,72.93,82.89,77,100,11.36,1603125296
503,Half Moon Bay,US,37.46,-122.43,68,82,1,2.89,1603125395
504,Riachão,BR,-7.36,-46.62,99.86,22,33,8.37,1603125395
505,Takayama,JP,36.13,137.25,54,76,45,5.99,1603125396
506,Ihlow,DE,51.88,13.33,51.8,76,75,4.7,1603125396
507,Mayo,US,38.89,-76.51,70,93,90,10.29,1603125121
508,Kwinana,AU,-32.25,115.77,64.99,88,0,8.05,1603125396
509,Azare,NG,11.68,10.19,87.08,29,0,2.15,1603125396
510,Gaza,PS,31.5,34.47,81,69,1,8.05,1603125358
511,Mazatlán,MX,23.22,-106.42,88,74,40,2.15,1603125184
512,Umeå,SE,63.83,20.26,33.8,96,90,12.75,1603125397
513,Eureka,US,40.8,-124.16,55,100,90,4.7,1603125397
514,Urengoy,RU,65.97,78.37,20.91,97,50,5.93,1603125398
515,Kargasok,RU,59.06,80.86,32.18,98,100,13.67,1603125398
516,Chilliwack,CA,49.17,-121.94,53.01,92,100,1.01,1603125285
